MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;TIME;ACTIVATION
0.4573;0.0399;0.0446;2;10.0000;0.5500;24.6659;sigmoid
0.4282;0.0397;0.0496;2;10.0000;0.5500;25.1303;relu
0.5529;0.0396;0.1119;2;10.0000;0.7500;24.6337;sigmoid
0.5501;0.0394;0.0973;2;10.0000;0.7500;24.6414;relu
0.7278;0.0392;0.1662;2;10.0000;0.9500;25.1116;sigmoid
0.7124;0.0394;0.0711;2;10.0000;0.9500;25.3113;relu
0.7394;0.0392;0.1650;2;10.0000;0.9950;25.1091;sigmoid
0.7388;0.0395;0.0773;2;10.0000;0.9950;24.6142;relu
0.6840;0.0393;0.2040;4;0.0000;0.5000;8.6216;sigmoid
0.6558;0.0394;0.1553;4;0.0000;0.5000;8.4237;relu
0.6672;0.0394;0.1427;4;0.0000;0.5500;26.3555;sigmoid
0.6725;0.0394;0.1570;4;0.0000;0.5500;26.0135;relu
0.7392;0.0392;0.1595;4;0.0000;0.7500;26.4163;sigmoid
0.7425;0.0391;0.2373;4;0.0000;0.7500;25.9621;relu
0.7713;0.0389;0.2291;4;0.0000;0.9500;26.2941;sigmoid
0.7680;0.0389;0.2666;4;0.0000;0.9500;26.0447;relu
0.7306;0.0390;0.2542;4;0.0000;0.9950;26.4113;sigmoid
0.7348;0.0389;0.2197;4;0.0000;0.9950;26.0879;relu
0.6112;0.0395;0.1181;4;0.0000;0.5000;8.6652;sigmoid
0.5749;0.0397;0.1111;4;0.0000;0.5000;8.4513;relu
0.6157;0.0395;0.1235;4;0.0000;0.5500;27.3989;sigmoid
0.6109;0.0396;0.1280;4;0.0000;0.5500;26.8963;relu
0.6976;0.0392;0.1899;4;0.0000;0.7500;27.1852;sigmoid
0.6580;0.0394;0.0953;4;0.0000;0.7500;27.0680;relu
0.7693;0.0390;0.2403;4;0.0000;0.9500;27.3978;sigmoid
0.7571;0.0390;0.2247;4;0.0000;0.9500;27.1205;relu
0.7409;0.0389;0.2447;4;0.0000;0.9950;27.8012;sigmoid
0.7437;0.0389;0.2443;4;0.0000;0.9950;27.3184;relu
0.5794;0.0396;0.1201;4;0.0000;0.5000;8.7284;sigmoid
0.5446;0.0398;0.0594;4;0.0000;0.5000;8.6567;relu
0.5855;0.0396;0.1108;4;0.0000;0.5500;27.4627;sigmoid
0.5743;0.0397;0.1063;4;0.0000;0.5500;27.0242;relu
0.6558;0.0393;0.1800;4;0.0000;0.7500;27.2716;sigmoid
0.6859;0.0392;0.1894;4;0.0000;0.7500;27.3475;relu
0.7588;0.0388;0.2930;4;0.0000;0.9500;27.5451;sigmoid
0.7561;0.0390;0.2350;4;0.0000;0.9500;27.2850;relu
0.7108;0.0391;0.1713;4;0.0000;0.9950;28.0040;sigmoid
0.7269;0.0389;0.2431;4;0.0000;0.9950;27.5051;relu
0.5801;0.0395;0.1314;4;0.0000;0.5000;8.7553;sigmoid
0.5487;0.0398;0.1013;4;0.0000;0.5000;8.6210;relu
0.5858;0.0395;0.1191;4;0.0000;0.5500;27.5247;sigmoid
0.5649;0.0397;0.0933;4;0.0000;0.5500;27.4859;relu
0.6836;0.0392;0.1938;4;0.0000;0.7500;27.6811;sigmoid
0.6396;0.0395;0.1109;4;0.0000;0.7500;27.4427;relu
0.7513;0.0389;0.2334;4;0.0000;0.9500;27.8541;sigmoid
0.7637;0.0389;0.2193;4;0.0000;0.9500;27.3589;relu
0.7656;0.0387;0.2608;4;0.0000;0.9950;27.8066;sigmoid
0.7334;0.0390;0.2131;4;0.0000;0.9950;27.8426;relu
0.5968;0.0395;0.1239;4;0.0000;0.5000;8.6774;sigmoid
0.5590;0.0398;0.0897;4;0.0000;0.5000;8.4892;relu
0.5835;0.0396;0.1133;4;0.0000;0.5500;27.1487;sigmoid
