MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.7343;0.0392;0.1277;2;0.0000;0.9500;complete;26.0089;sigmoid
0.7275;0.0394;0.1013;2;0.0000;0.9500;average;25.6589;sigmoid
0.7137;0.0395;0.0971;2;0.0000;0.9500;single;25.4307;sigmoid
0.7647;0.0392;0.1215;2;0.0000;0.9500;complete;25.7151;relu
0.7433;0.0394;0.0862;2;0.0000;0.9500;average;25.9589;relu
0.7408;0.0394;0.0972;2;0.0000;0.9500;single;25.8277;relu
0.7152;0.0392;0.1172;2;0.0000;0.9950;complete;25.7873;sigmoid
0.7262;0.0394;0.0906;2;0.0000;0.9950;average;26.0009;sigmoid
0.7329;0.0394;0.1013;2;0.0000;0.9950;single;25.5960;sigmoid
0.7152;0.0392;0.1170;2;0.0000;0.9950;complete;26.1609;relu
0.7259;0.0394;0.0906;2;0.0000;0.9950;average;25.8450;relu
0.7329;0.0394;0.1013;2;0.0000;0.9950;single;25.4994;relu
0.5517;0.0397;0.0949;2;0.0000;0.5000;complete;7.1714;sigmoid
0.5430;0.0398;0.0854;2;0.0000;0.5000;average;7.2154;sigmoid
0.5425;0.0398;0.0874;2;0.0000;0.5000;single;7.3017;sigmoid
0.5520;0.0398;0.0663;2;0.0000;0.5000;complete;7.1083;relu
0.5518;0.0400;0.0419;2;0.0000;0.5000;average;7.1339;relu
0.5891;0.0398;0.1023;2;0.0000;0.5000;single;7.1514;relu
0.5830;0.0396;0.1032;2;0.0000;0.5500;complete;25.2842;sigmoid
0.5475;0.0398;0.0889;2;0.0000;0.5500;average;25.0011;sigmoid
0.5397;0.0398;0.0730;2;0.0000;0.5500;single;24.7601;sigmoid
0.5891;0.0397;0.0684;2;0.0000;0.5500;complete;24.5875;relu
0.5534;0.0399;0.0627;2;0.0000;0.5500;average;24.4054;relu
0.5829;0.0398;0.0647;2;0.0000;0.5500;single;24.4266;relu
0.6626;0.0395;0.1101;2;0.0000;0.7500;complete;25.5054;sigmoid
0.6433;0.0396;0.0865;2;0.0000;0.7500;average;25.6533;sigmoid
0.6446;0.0396;0.0930;2;0.0000;0.7500;single;25.2325;sigmoid
0.6737;0.0396;0.0752;2;0.0000;0.7500;complete;25.3672;relu
0.6938;0.0396;0.0849;2;0.0000;0.7500;average;25.4016;relu
0.6918;0.0395;0.1226;2;0.0000;0.7500;single;25.2289;relu
0.7248;0.0392;0.1280;2;0.0000;0.9500;complete;25.8940;sigmoid
0.7169;0.0395;0.1028;2;0.0000;0.9500;average;25.7662;sigmoid
0.7100;0.0395;0.1044;2;0.0000;0.9500;single;25.5366;sigmoid
0.7638;0.0392;0.1234;2;0.0000;0.9500;complete;26.0081;relu
0.7423;0.0394;0.0847;2;0.0000;0.9500;average;25.8325;relu
0.7408;0.0394;0.0965;2;0.0000;0.9500;single;25.8107;relu
0.7151;0.0392;0.1171;2;0.0000;0.9950;complete;26.1317;sigmoid
0.7262;0.0394;0.0906;2;0.0000;0.9950;average;25.9016;sigmoid
0.7327;0.0394;0.1008;2;0.0000;0.9950;single;25.7894;sigmoid
0.7152;0.0392;0.1176;2;0.0000;0.9950;complete;26.1034;relu
0.7259;0.0394;0.0905;2;0.0000;0.9950;average;26.0662;relu
0.7325;0.0394;0.1010;2;0.0000;0.9950;single;25.5198;relu
