MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.0028;0.3551;0.0029;2;0.0100;0.5500;single;2.8868;relu
0.4242;0.3733;0.4720;2;0.0100;0.7500;complete;3.6738;sigmoid
0.4228;0.3698;0.4573;2;0.0100;0.7500;average;3.0314;sigmoid
0.4143;0.3656;0.3265;2;0.0100;0.7500;single;3.7462;sigmoid
0.0017;0.3495;0.0027;2;0.0100;0.7500;complete;2.8585;relu
0.0015;0.3539;0.0032;2;0.0100;0.7500;average;3.6048;relu
0.0046;0.3564;0.0115;2;0.0100;0.7500;single;2.9351;relu
0.4242;0.3780;0.6269;2;0.0100;0.9500;complete;3.6934;sigmoid
0.4232;0.3706;0.4646;2;0.0100;0.9500;average;2.9493;sigmoid
0.4230;0.3700;0.4483;2;0.0100;0.9500;single;3.7082;sigmoid
0.4234;0.3699;0.4831;2;0.0100;0.9500;complete;2.9089;relu
0.4232;0.3696;0.4738;2;0.0100;0.9500;average;3.6306;relu
0.4236;0.3701;0.4887;2;0.0100;0.9500;single;2.8675;relu
0.3580;0.3703;0.3959;2;0.0100;0.9950;complete;3.6716;sigmoid
0.0002;0.3806;-0.0003;2;0.0100;0.9950;average;3.0258;sigmoid
0.2197;0.3697;0.1749;2;0.0100;0.9950;single;3.7129;sigmoid
0.0006;0.3594;0.0037;2;0.0100;0.9950;complete;2.9301;relu
0.0007;0.3705;0.0062;2;0.0100;0.9950;average;3.6215;relu
0.3800;0.3622;0.3204;2;0.0100;0.9950;single;2.9221;relu
0.4244;0.3736;0.5134;2;0.1000;0.5000;complete;0.3504;sigmoid
0.3541;0.3508;0.1606;2;0.1000;0.5000;average;0.3501;sigmoid
0.3748;0.3533;0.1649;2;0.1000;0.5000;single;0.3593;sigmoid
-0.0352;0.2694;-0.0005;2;0.1000;0.5000;complete;0.3007;relu
0.0099;0.3033;0.0023;2;0.1000;0.5000;average;0.3036;relu
-0.0050;0.3109;0.0068;2;0.1000;0.5000;single;0.3051;relu
0.0308;0.2865;0.0228;2;0.1000;0.5500;complete;3.7193;sigmoid
0.3562;0.3511;0.1628;2;0.1000;0.5500;average;2.9484;sigmoid
0.3549;0.3500;0.1398;2;0.1000;0.5500;single;3.6554;sigmoid
-0.0352;0.2694;-0.0005;2;0.1000;0.5500;complete;2.9904;relu
0.0099;0.3033;0.0023;2;0.1000;0.5500;average;3.6289;relu
0.0165;0.3091;0.0182;2;0.1000;0.5500;single;2.9063;relu
0.4243;0.3730;0.5728;2;0.1000;0.7500;complete;3.7113;sigmoid
0.3817;0.3555;0.1981;2;0.1000;0.7500;average;2.9465;sigmoid
0.3784;0.3542;0.1716;2;0.1000;0.7500;single;3.7715;sigmoid
-0.0352;0.2694;-0.0005;2;0.1000;0.7500;complete;2.9074;relu
-0.0251;0.2932;0.0013;2;0.1000;0.7500;average;3.6638;relu
0.0026;0.3323;-0.0004;2;0.1000;0.7500;single;2.9024;relu
0.4230;0.3718;0.5001;2;0.1000;0.9500;complete;3.8012;sigmoid
0.0468;0.3668;0.0344;2;0.1000;0.9500;average;2.9567;sigmoid
0.4024;0.3601;0.2383;2;0.1000;0.9500;single;3.6900;sigmoid
0.0011;0.3275;0.0006;2;0.1000;0.9500;complete;2.8812;relu
0.0013;0.3452;0.0027;2;0.1000;0.9500;average;3.6742;relu
0.0014;0.3517;0.0034;2;0.1000;0.9500;single;2.9387;relu
0.0097;0.3368;-0.0006;2;0.1000;0.9950;complete;3.6636;sigmoid
0.0006;0.3782;-0.0003;2;0.1000;0.9950;average;2.9276;sigmoid
0.0625;0.3684;0.0510;2;0.1000;0.9950;single;3.7681;sigmoid
0.0010;0.3278;0.0001;2;0.1000;0.9950;complete;2.8786;relu
0.0012;0.3504;0.0011;2;0.1000;0.9950;average;3.6232;relu
0.0011;0.3544;0.0008;2;0.1000;0.9950;single;2.8752;relu
