MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;TIME;ACTIVATION
-0.0244;0.2739;-0.0003;2;10.0000;0.9950;3.6005;sigmoid
-0.0352;0.2694;-0.0005;2;10.0000;0.9950;3.6037;relu
0.4244;0.3779;0.6163;4;0.0000;0.5000;0.4505;sigmoid
0.4244;0.3779;0.6163;4;0.0000;0.5000;0.3587;relu
0.4244;0.3740;0.4683;4;0.0000;0.5500;3.6460;sigmoid
0.4244;0.3779;0.6163;4;0.0000;0.5500;3.6325;relu
0.4243;0.3776;0.6163;4;0.0000;0.7500;3.6857;sigmoid
0.4243;0.3776;0.6163;4;0.0000;0.7500;3.7497;relu
0.4241;0.3779;0.6376;4;0.0000;0.9500;3.7703;sigmoid
0.4241;0.3779;0.6376;4;0.0000;0.9500;3.6321;relu
0.4238;0.3782;0.6206;4;0.0000;0.9950;3.7262;sigmoid
0.4238;0.3782;0.6206;4;0.0000;0.9950;3.6448;relu
0.4244;0.3715;0.4850;4;0.0000;0.5000;0.3940;sigmoid
0.4244;0.3716;0.4794;4;0.0000;0.5000;0.3135;relu
0.4244;0.3732;0.5708;4;0.0000;0.5500;3.7443;sigmoid
0.4244;0.3716;0.4794;4;0.0000;0.5500;3.5955;relu
0.4243;0.3730;0.5708;4;0.0000;0.7500;3.6668;sigmoid
0.4243;0.3714;0.4794;4;0.0000;0.7500;3.5944;relu
0.4241;0.3713;0.5039;4;0.0000;0.9500;3.6794;sigmoid
0.4241;0.3713;0.4963;4;0.0000;0.9500;3.6699;relu
0.4238;0.3717;0.4887;4;0.0000;0.9950;3.7019;sigmoid
0.4238;0.3716;0.5270;4;0.0000;0.9950;3.6818;relu
0.4244;0.3715;0.4850;4;0.0000;0.5000;0.3957;sigmoid
0.4244;0.3716;0.4794;4;0.0000;0.5000;0.3153;relu
0.4244;0.3732;0.5708;4;0.0000;0.5500;3.6224;sigmoid
0.4244;0.3714;0.4812;4;0.0000;0.5500;3.7126;relu
0.4243;0.3717;0.5154;4;0.0000;0.7500;3.6681;sigmoid
0.4243;0.3714;0.4794;4;0.0000;0.7500;3.6249;relu
0.4241;0.3713;0.5039;4;0.0000;0.9500;3.7003;sigmoid
0.4241;0.3713;0.4963;4;0.0000;0.9500;3.6576;relu
0.4238;0.3717;0.4887;4;0.0000;0.9950;3.6597;sigmoid
0.4238;0.3716;0.5270;4;0.0000;0.9950;3.5864;relu
0.4244;0.3720;0.5154;4;0.0000;0.5000;0.3949;sigmoid
0.4244;0.3714;0.4812;4;0.0000;0.5000;0.3251;relu
0.4244;0.3716;0.4869;4;0.0000;0.5500;3.6085;sigmoid
0.4244;0.3714;0.4812;4;0.0000;0.5500;3.5967;relu
0.4242;0.3712;0.4869;4;0.0000;0.7500;3.6761;sigmoid
0.4245;0.3714;0.4812;4;0.0000;0.7500;3.7209;relu
0.4241;0.3734;0.5913;4;0.0000;0.9500;3.6769;sigmoid
0.4241;0.3713;0.4963;4;0.0000;0.9500;3.5746;relu
0.4238;0.3717;0.5270;4;0.0000;0.9950;3.7334;sigmoid
0.4238;0.3714;0.5134;4;0.0000;0.9950;3.6001;relu
0.4243;0.3720;0.5154;4;0.0000;0.5000;0.5901;sigmoid
0.4244;0.3714;0.4812;4;0.0000;0.5000;0.3165;relu
0.4239;0.3715;0.5020;4;0.0000;0.5500;3.6608;sigmoid
0.4244;0.3714;0.4812;4;0.0000;0.5500;3.6010;relu
0.4242;0.3729;0.5728;4;0.0000;0.7500;3.6938;sigmoid
0.4245;0.3714;0.4812;4;0.0000;0.7500;3.6195;relu
0.4241;0.3713;0.5039;4;0.0000;0.9500;3.7147;sigmoid
0.4241;0.3713;0.4963;4;0.0000;0.9500;3.7218;relu
0.4238;0.3719;0.5001;4;0.0000;0.9950;3.6613;sigmoid
0.4238;0.3716;0.5270;4;0.0000;0.9950;3.6299;relu
0.4235;0.3732;0.5567;4;0.0000;0.5000;0.3990;sigmoid
0.4244;0.3716;0.4794;4;0.0000;0.5000;0.3113;relu
0.4235;0.3732;0.5567;4;0.0000;0.5500;3.6888;sigmoid
0.4244;0.3714;0.4812;4;0.0000;0.5500;3.6424;relu
0.4244;0.3713;0.4887;4;0.0000;0.7500;3.6199;sigmoid
0.4244;0.3713;0.4831;4;0.0000;0.7500;3.6475;relu
0.4241;0.3716;0.5348;4;0.0000;0.9500;3.6021;sigmoid
0.4241;0.3713;0.4963;4;0.0000;0.9500;3.5858;relu
0.4238;0.3716;0.5270;4;0.0000;0.9950;3.6367;sigmoid
0.4228;0.3714;0.5270;4;0.0000;0.9950;3.6286;relu
0.4220;0.3707;0.4393;4;0.0001;0.5000;0.4068;sigmoid
0.4244;0.3716;0.4794;4;0.0001;0.5000;0.3141;relu
0.4220;0.3707;0.4375;4;0.0001;0.5500;3.6475;sigmoid
0.4244;0.3716;0.4794;4;0.0001;0.5500;3.5551;relu
0.4242;0.3731;0.5688;4;0.0001;0.7500;3.7635;sigmoid
0.4242;0.3713;0.4812;4;0.0001;0.7500;3.6296;relu
0.4242;0.3732;0.5934;4;0.0001;0.9500;3.6905;sigmoid
0.4241;0.3713;0.4982;4;0.0001;0.9500;3.7259;relu
0.4239;0.3716;0.5290;4;0.0001;0.9950;3.6849;sigmoid
0.4222;0.3715;0.5251;4;0.0001;0.9950;3.5640;relu
0.4238;0.3726;0.5587;4;0.0010;0.5000;0.3929;sigmoid
0.4236;0.3710;0.4610;4;0.0010;0.5000;0.3162;relu
0.4235;0.3727;0.5547;4;0.0010;0.5500;3.7002;sigmoid
0.0016;0.3534;0.0005;4;0.0010;0.5500;3.5944;relu
0.4230;0.3707;0.4501;4;0.0010;0.7500;3.6332;sigmoid
0.4241;0.3711;0.4757;4;0.0010;0.7500;3.6985;relu
0.4241;0.3734;0.5892;4;0.0010;0.9500;3.6974;sigmoid
0.4241;0.3712;0.5001;4;0.0010;0.9500;3.5486;relu
0.4240;0.3712;0.5173;4;0.0010;0.9950;3.6587;sigmoid
0.2764;0.3666;0.3976;4;0.0010;0.9950;3.6392;relu
0.4231;0.3708;0.4850;4;0.0100;0.5000;0.3986;sigmoid
0.0020;0.3482;-0.0006;4;0.0100;0.5000;0.3127;relu
0.4185;0.3699;0.4269;4;0.0100;0.5500;3.6498;sigmoid
-0.0378;0.2695;-0.0004;4;0.0100;0.5500;3.6129;relu
0.4240;0.3705;0.4887;4;0.0100;0.7500;3.6297;sigmoid
0.0014;0.3515;0.0026;4;0.0100;0.7500;3.5990;relu
0.4241;0.3708;0.5251;4;0.0100;0.9500;3.6997;sigmoid
0.0009;0.3495;0.0038;4;0.0100;0.9500;3.7174;relu
0.1047;0.3720;0.0907;4;0.0100;0.9950;3.6529;sigmoid
0.0007;0.3548;0.0040;4;0.0100;0.9950;3.5704;relu
0.3562;0.3752;0.2448;4;0.1000;0.5000;0.4070;sigmoid
-0.0331;0.2707;-0.0006;4;0.1000;0.5000;0.3142;relu
0.3624;0.3730;0.3742;4;0.1000;0.5500;3.7006;sigmoid
-0.0352;0.2694;-0.0005;4;0.1000;0.5500;3.6264;relu
0.3777;0.3542;0.1806;4;0.1000;0.7500;4.0979;sigmoid
-0.0352;0.2694;-0.0005;4;0.1000;0.7500;4.0041;relu
0.4070;0.3619;0.2625;4;0.1000;0.9500;4.0397;sigmoid
0.0012;0.3290;0.0006;4;0.1000;0.9500;3.6975;relu
0.0077;0.3281;0.0045;4;0.1000;0.9950;3.9656;sigmoid
0.0011;0.3291;0.0001;4;0.1000;0.9950;3.6244;relu
0.0922;0.3437;0.0947;4;1.0000;0.5000;0.4070;sigmoid
-0.0352;0.2694;-0.0005;4;1.0000;0.5000;0.3140;relu
-0.0302;0.2903;0.0012;4;1.0000;0.5500;3.8051;sigmoid
-0.0358;0.2694;-0.0004;4;1.0000;0.5500;3.6812;relu
0.0798;0.3362;0.0898;4;1.0000;0.7500;4.2059;sigmoid
-0.0352;0.2694;-0.0005;4;1.0000;0.7500;4.6789;relu
0.0304;0.3729;0.0123;4;1.0000;0.9500;4.0551;sigmoid
-0.0352;0.2694;-0.0005;4;1.0000;0.9500;4.7833;relu
0.0155;0.2904;0.0015;4;1.0000;0.9950;4.1396;sigmoid
-0.0336;0.2707;-0.0006;4;1.0000;0.9950;4.7737;relu
-0.0382;0.3060;0.0051;4;10.0000;0.5000;0.5000;sigmoid
-0.0375;0.2625;-0.0005;4;10.0000;0.5000;0.3332;relu
-0.0333;0.3032;0.0051;4;10.0000;0.5500;3.8235;sigmoid
-0.0352;0.2694;-0.0005;4;10.0000;0.5500;3.5898;relu
-0.0442;0.2855;-0.0001;4;10.0000;0.7500;4.0365;sigmoid
-0.0358;0.2694;-0.0004;4;10.0000;0.7500;3.9253;relu
-0.0302;0.2682;-0.0004;4;10.0000;0.9500;4.0169;sigmoid
-0.0352;0.2694;-0.0005;4;10.0000;0.9500;3.6526;relu
0.0399;0.2964;0.0044;4;10.0000;0.9950;3.8656;sigmoid
-0.0352;0.2694;-0.0005;4;10.0000;0.9950;3.6096;relu
0.4244;0.3779;0.6163;5;0.0000;0.5000;0.4939;sigmoid
0.4244;0.3740;0.4683;5;0.0000;0.5000;0.4253;relu
0.4244;0.3779;0.6163;5;0.0000;0.5500;3.2243;sigmoid
0.4244;0.3779;0.6163;5;0.0000;0.5500;3.7420;relu
0.4243;0.3776;0.6163;5;0.0000;0.7500;3.9916;sigmoid
0.4243;0.3776;0.6163;5;0.0000;0.7500;3.7178;relu
0.4241;0.3779;0.6376;5;0.0000;0.9500;3.9911;sigmoid
0.4241;0.3779;0.6376;5;0.0000;0.9500;3.0966;relu
0.4238;0.3782;0.6206;5;0.0000;0.9950;3.9366;sigmoid
0.4238;0.3782;0.6206;5;0.0000;0.9950;3.6561;relu
0.4244;0.3764;0.5975;5;0.0000;0.5000;0.4646;sigmoid
0.4244;0.3716;0.4794;5;0.0000;0.5000;0.3273;relu
0.4244;0.3763;0.6017;5;0.0000;0.5500;3.7397;sigmoid
0.4244;0.3716;0.4794;5;0.0000;0.5500;3.7858;relu
0.4243;0.3712;0.4775;5;0.0000;0.7500;3.7633;sigmoid
0.4243;0.3716;0.4887;5;0.0000;0.7500;3.7958;relu
0.4241;0.3714;0.4982;5;0.0000;0.9500;3.1354;sigmoid
0.4241;0.3713;0.4963;5;0.0000;0.9500;3.7747;relu
0.4238;0.3718;0.5001;5;0.0000;0.9950;3.8570;sigmoid
0.4238;0.3715;0.5192;5;0.0000;0.9950;3.7592;relu
0.4244;0.3764;0.5975;5;0.0000;0.5000;0.4272;sigmoid
0.4244;0.3716;0.4794;5;0.0000;0.5000;0.3359;relu
0.4244;0.3764;0.5975;5;0.0000;0.5500;3.2069;sigmoid
0.4244;0.3714;0.4812;5;0.0000;0.5500;3.7602;relu
0.4243;0.3734;0.5688;5;0.0000;0.7500;3.7653;sigmoid
0.4243;0.3714;0.4794;5;0.0000;0.7500;3.7501;relu
0.4241;0.3714;0.4982;5;0.0000;0.9500;3.8128;sigmoid
0.4241;0.3713;0.4963;5;0.0000;0.9500;3.9233;relu
0.4238;0.3717;0.5192;5;0.0000;0.9950;3.7610;sigmoid
0.4238;0.3715;0.5192;5;0.0000;0.9950;3.7641;relu
0.4244;0.3764;0.5975;5;0.0000;0.5000;0.4340;sigmoid
0.4244;0.3714;0.4812;5;0.0000;0.5000;0.3356;relu
0.4244;0.3764;0.5954;5;0.0000;0.5500;3.7382;sigmoid
0.4244;0.3714;0.4812;5;0.0000;0.5500;3.7639;relu
0.4243;0.3733;0.5728;5;0.0000;0.7500;3.7831;sigmoid
0.4245;0.3714;0.4812;5;0.0000;0.7500;3.8554;relu
0.4241;0.3714;0.4982;5;0.0000;0.9500;3.7137;sigmoid
0.4241;0.3713;0.4963;5;0.0000;0.9500;3.7940;relu
0.4238;0.3717;0.5192;5;0.0000;0.9950;3.8156;sigmoid
0.4238;0.3714;0.5134;5;0.0000;0.9950;3.8512;relu
0.4244;0.3764;0.5996;5;0.0000;0.5000;0.4331;sigmoid
0.4244;0.3714;0.4812;5;0.0000;0.5000;0.3357;relu
0.4243;0.3716;0.5039;5;0.0000;0.5500;3.6673;sigmoid
0.4244;0.3714;0.4812;5;0.0000;0.5500;3.7754;relu
0.4242;0.3713;0.4812;5;0.0000;0.7500;3.7226;sigmoid
0.4245;0.3714;0.4812;5;0.0000;0.7500;3.7728;relu
0.4241;0.3735;0.5892;5;0.0000;0.9500;3.7139;sigmoid
0.4241;0.3713;0.4963;5;0.0000;0.9500;3.7812;relu
0.4238;0.3717;0.5192;5;0.0000;0.9950;3.7637;sigmoid
0.4238;0.3714;0.5077;5;0.0000;0.9950;3.7125;relu
0.4236;0.3730;0.5467;5;0.0000;0.5000;0.4337;sigmoid
0.4244;0.3716;0.4794;5;0.0000;0.5000;0.3327;relu
0.4240;0.3736;0.5627;5;0.0000;0.5500;3.7638;sigmoid
0.4244;0.3714;0.4812;5;0.0000;0.5500;3.7425;relu
0.4244;0.3713;0.4812;5;0.0000;0.7500;3.7294;sigmoid
0.4244;0.3713;0.4831;5;0.0000;0.7500;3.6991;relu
0.4241;0.3714;0.4982;5;0.0000;0.9500;3.7231;sigmoid
0.4241;0.3713;0.4963;5;0.0000;0.9500;3.6840;relu
0.4238;0.3717;0.5192;5;0.0000;0.9950;3.7118;sigmoid
0.4228;0.3713;0.5077;5;0.0000;0.9950;3.6811;relu
0.4236;0.3714;0.4664;5;0.0001;0.5000;0.4369;sigmoid
0.4244;0.3716;0.4794;5;0.0001;0.5000;0.3282;relu
0.4238;0.3734;0.5607;5;0.0001;0.5500;3.6740;sigmoid
0.4244;0.3716;0.4794;5;0.0001;0.5500;3.7045;relu
0.4244;0.3728;0.5667;5;0.0001;0.7500;3.7049;sigmoid
0.4244;0.3713;0.4831;5;0.0001;0.7500;3.8346;relu
0.4241;0.3732;0.5830;5;0.0001;0.9500;3.7616;sigmoid
0.4241;0.3713;0.4963;5;0.0001;0.9500;3.7172;relu
0.4238;0.3717;0.5192;5;0.0001;0.9950;3.6778;sigmoid
0.4222;0.3715;0.5251;5;0.0001;0.9950;3.6552;relu
0.4238;0.3730;0.5547;5;0.0010;0.5000;0.4341;sigmoid
0.4236;0.3710;0.4610;5;0.0010;0.5000;0.3273;relu
0.4237;0.3776;0.5954;5;0.0010;0.5500;3.7216;sigmoid
0.4231;0.3704;0.4501;5;0.0010;0.5500;3.7260;relu
0.4242;0.3729;0.5688;5;0.0010;0.7500;3.7088;sigmoid
0.4241;0.3708;0.4775;5;0.0010;0.7500;3.6421;relu
0.4241;0.3714;0.4944;5;0.0010;0.9500;3.8195;sigmoid
0.4241;0.3713;0.5001;5;0.0010;0.9500;3.8078;relu
0.4240;0.3714;0.5154;5;0.0010;0.9950;3.7105;sigmoid
0.2860;0.3669;0.4061;5;0.0010;0.9950;3.7122;relu
0.4198;0.3708;0.5270;5;0.0100;0.5000;0.4285;sigmoid
0.0020;0.3472;-0.0005;5;0.0100;0.5000;0.3287;relu
0.4202;0.3708;0.5231;5;0.0100;0.5500;3.7036;sigmoid
0.0008;0.3080;-0.0004;5;0.0100;0.5500;3.7248;relu
0.4216;0.3713;0.5368;5;0.0100;0.7500;3.7129;sigmoid
0.0015;0.3502;0.0026;5;0.0100;0.7500;3.6905;relu
0.4241;0.3783;0.6227;5;0.0100;0.9500;3.7395;sigmoid
0.4234;0.3699;0.4831;5;0.0100;0.9500;3.7488;relu
0.1241;0.3727;0.1068;5;0.0100;0.9950;3.8031;sigmoid
0.0009;0.3446;0.0012;5;0.0100;0.9950;3.7846;relu
0.3637;0.3568;0.1863;5;0.1000;0.5000;0.4355;sigmoid
-0.0352;0.2694;-0.0005;5;0.1000;0.5000;0.3273;relu
0.3459;0.3501;0.1627;5;0.1000;0.5500;3.7768;sigmoid
-0.0352;0.2694;-0.0005;5;0.1000;0.5500;3.7790;relu
0.4152;0.3688;0.5020;5;0.1000;0.7500;3.7176;sigmoid
-0.0331;0.2707;-0.0006;5;0.1000;0.7500;3.7394;relu
0.4179;0.3710;0.5173;5;0.1000;0.9500;3.7233;sigmoid
0.0012;0.3248;0.0012;5;0.1000;0.9500;3.6828;relu
0.0115;0.3415;0.0003;5;0.1000;0.9950;3.7104;sigmoid
0.0010;0.3317;-0.0002;5;0.1000;0.9950;3.7055;relu
-0.0085;0.2811;0.0037;5;1.0000;0.5000;0.4314;sigmoid
-0.0352;0.2694;-0.0005;5;1.0000;0.5000;0.3280;relu
0.0174;0.3173;0.0068;5;1.0000;0.5500;3.8787;sigmoid
-0.0352;0.2694;-0.0005;5;1.0000;0.5500;3.8217;relu
-0.0133;0.2724;0.0082;5;1.0000;0.7500;4.0064;sigmoid
-0.0352;0.2694;-0.0005;5;1.0000;0.7500;3.7185;relu
0.0121;0.2819;0.0035;5;1.0000;0.9500;4.1008;sigmoid
-0.0348;0.2696;-0.0003;5;1.0000;0.9500;3.7465;relu
0.0050;0.3333;-0.0005;5;1.0000;0.9950;3.8030;sigmoid
-0.0165;0.2757;0.0001;5;1.0000;0.9950;3.7649;relu
-0.0363;0.2617;-0.0001;5;10.0000;0.5000;0.4502;sigmoid
-0.0352;0.2694;-0.0005;5;10.0000;0.5000;0.3505;relu
-0.0246;0.2896;0.0030;5;10.0000;0.5500;4.0381;sigmoid
-0.0359;0.2636;-0.0000;5;10.0000;0.5500;3.7854;relu
0.0051;0.3244;0.0016;5;10.0000;0.7500;3.8585;sigmoid
-0.0352;0.2694;-0.0005;5;10.0000;0.7500;3.6958;relu
-0.0242;0.2931;0.0026;5;10.0000;0.9500;3.8412;sigmoid
-0.0352;0.2694;-0.0005;5;10.0000;0.9500;3.7708;relu
0.0018;0.3336;-0.0005;5;10.0000;0.9950;3.9082;sigmoid
-0.0352;0.2694;-0.0005;5;10.0000;0.9950;3.8045;relu
0.4244;0.3779;0.6163;6;0.0000;0.5000;0.5231;sigmoid
0.4244;0.3779;0.6163;6;0.0000;0.5000;0.4082;relu
0.4244;0.3779;0.6163;6;0.0000;0.5500;3.8685;sigmoid
0.4244;0.3779;0.6163;6;0.0000;0.5500;3.8390;relu
0.4243;0.3776;0.6163;6;0.0000;0.7500;3.8008;sigmoid
0.4243;0.3776;0.6163;6;0.0000;0.7500;3.8989;relu
0.4241;0.3779;0.6376;6;0.0000;0.9500;3.8295;sigmoid
0.4241;0.3779;0.6376;6;0.0000;0.9500;3.8218;relu
0.4238;0.3782;0.6206;6;0.0000;0.9950;3.8678;sigmoid
0.4238;0.3782;0.6206;6;0.0000;0.9950;3.8369;relu
0.4244;0.3764;0.5996;6;0.0000;0.5000;0.5014;sigmoid
0.4244;0.3716;0.4794;6;0.0000;0.5000;0.3388;relu
0.4244;0.3730;0.5587;6;0.0000;0.5500;3.7765;sigmoid
0.4244;0.3716;0.4794;6;0.0000;0.5500;3.7535;relu
0.4243;0.3712;0.4775;6;0.0000;0.7500;3.7960;sigmoid
0.4243;0.3714;0.4794;6;0.0000;0.7500;3.7420;relu
