MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.7244;0.0548;0.1851;2;0.0000;0.9500;single;15.2220;sigmoid
0.7265;0.0550;0.1994;2;0.0000;0.9500;complete;15.5104;relu
0.7316;0.0547;0.2602;2;0.0000;0.9500;average;15.5803;relu
0.7277;0.0549;0.1760;2;0.0000;0.9500;single;15.3648;relu
0.6803;0.0552;0.1622;2;0.0000;0.9950;complete;15.1746;sigmoid
0.6814;0.0549;0.2111;2;0.0000;0.9950;average;15.1452;sigmoid
0.6924;0.0549;0.1532;2;0.0000;0.9950;single;14.8973;sigmoid
0.6803;0.0552;0.1622;2;0.0000;0.9950;complete;15.1945;relu
0.6816;0.0549;0.2111;2;0.0000;0.9950;average;15.0425;relu
0.6924;0.0549;0.1532;2;0.0000;0.9950;single;14.9978;relu
0.6101;0.0554;0.2585;2;0.0000;0.5000;complete;3.0397;sigmoid
0.6611;0.0551;0.2227;2;0.0000;0.5000;average;3.0451;sigmoid
0.6642;0.0552;0.2396;2;0.0000;0.5000;single;3.0258;sigmoid
0.6106;0.0555;0.2372;2;0.0000;0.5000;complete;2.9175;relu
0.6565;0.0552;0.1852;2;0.0000;0.5000;average;2.9207;relu
0.6598;0.0552;0.1959;2;0.0000;0.5000;single;2.9357;relu
0.6607;0.0551;0.2316;2;0.0000;0.5500;complete;15.2520;sigmoid
0.6690;0.0550;0.2249;2;0.0000;0.5500;average;15.6228;sigmoid
0.6698;0.0551;0.2101;2;0.0000;0.5500;single;15.2852;sigmoid
0.6706;0.0551;0.2154;2;0.0000;0.5500;complete;14.7743;relu
0.6679;0.0551;0.1944;2;0.0000;0.5500;average;15.1657;relu
0.6714;0.0551;0.1858;2;0.0000;0.5500;single;14.8848;relu
0.6875;0.0551;0.2170;2;0.0000;0.7500;complete;15.8559;sigmoid
0.7088;0.0548;0.2650;2;0.0000;0.7500;average;15.7277;sigmoid
0.7032;0.0549;0.2515;2;0.0000;0.7500;single;15.3833;sigmoid
0.6977;0.0551;0.2083;2;0.0000;0.7500;complete;15.6453;relu
0.7172;0.0548;0.2575;2;0.0000;0.7500;average;15.3245;relu
0.7144;0.0549;0.2367;2;0.0000;0.7500;single;15.2204;relu
0.7225;0.0550;0.1872;2;0.0000;0.9500;complete;15.5851;sigmoid
0.7229;0.0547;0.2622;2;0.0000;0.9500;average;15.7284;sigmoid
0.7226;0.0548;0.1828;2;0.0000;0.9500;single;15.6114;sigmoid
0.7257;0.0549;0.1972;2;0.0000;0.9500;complete;15.7588;relu
0.7316;0.0547;0.2602;2;0.0000;0.9500;average;15.7644;relu
0.7272;0.0549;0.1764;2;0.0000;0.9500;single;15.8649;relu
0.6801;0.0552;0.1621;2;0.0000;0.9950;complete;15.0007;sigmoid
0.6816;0.0549;0.2111;2;0.0000;0.9950;average;15.0769;sigmoid
0.6919;0.0549;0.1534;2;0.0000;0.9950;single;18.2124;sigmoid
0.6801;0.0552;0.1621;2;0.0000;0.9950;complete;18.5570;relu
0.6820;0.0549;0.2114;2;0.0000;0.9950;average;18.8803;relu
0.6924;0.0549;0.1525;2;0.0000;0.9950;single;18.4423;relu
0.6112;0.0554;0.2621;2;0.0001;0.5000;complete;3.6960;sigmoid
0.6589;0.0551;0.2245;2;0.0001;0.5000;average;3.6429;sigmoid
0.6618;0.0552;0.2389;2;0.0001;0.5000;single;3.0279;sigmoid
0.6486;0.0553;0.1866;2;0.0001;0.5000;complete;2.9825;relu
0.6413;0.0553;0.1736;2;0.0001;0.5000;average;2.9178;relu
0.6519;0.0553;0.1886;2;0.0001;0.5000;single;2.9314;relu
0.6595;0.0551;0.2336;2;0.0001;0.5500;complete;14.7618;sigmoid
0.6683;0.0550;0.2214;2;0.0001;0.5500;average;14.9181;sigmoid
0.6627;0.0551;0.2181;2;0.0001;0.5500;single;14.8666;sigmoid
0.6660;0.0552;0.1975;2;0.0001;0.5500;complete;14.2240;relu
0.6628;0.0552;0.1860;2;0.0001;0.5500;average;14.3113;relu
0.6627;0.0551;0.1805;2;0.0001;0.5500;single;14.1602;relu
0.6840;0.0551;0.2197;2;0.0001;0.7500;complete;15.4496;sigmoid
0.7083;0.0548;0.2625;2;0.0001;0.7500;average;15.4279;sigmoid
0.7033;0.0549;0.2522;2;0.0001;0.7500;single;15.2463;sigmoid
0.7057;0.0551;0.2069;2;0.0001;0.7500;complete;14.7212;relu
0.7177;0.0548;0.2566;2;0.0001;0.7500;average;14.5708;relu
0.7155;0.0549;0.2371;2;0.0001;0.7500;single;14.5383;relu
0.7207;0.0550;0.1855;2;0.0001;0.9500;complete;15.7154;sigmoid
0.7233;0.0547;0.2678;2;0.0001;0.9500;average;15.9034;sigmoid
0.7235;0.0548;0.1833;2;0.0001;0.9500;single;15.6682;sigmoid
0.7264;0.0549;0.1991;2;0.0001;0.9500;complete;15.6389;relu
0.7316;0.0547;0.2606;2;0.0001;0.9500;average;15.6584;relu
0.7278;0.0549;0.1762;2;0.0001;0.9500;single;15.5743;relu
0.6789;0.0552;0.1601;2;0.0001;0.9950;complete;15.0980;sigmoid
0.6807;0.0549;0.2092;2;0.0001;0.9950;average;15.3103;sigmoid
0.6925;0.0549;0.1529;2;0.0001;0.9950;single;15.1700;sigmoid
0.6803;0.0552;0.1608;2;0.0001;0.9950;complete;15.2178;relu
0.6819;0.0549;0.2076;2;0.0001;0.9950;average;15.1620;relu
0.6929;0.0549;0.1523;2;0.0001;0.9950;single;15.0951;relu
0.6492;0.0552;0.2211;2;0.0010;0.5000;complete;3.0955;sigmoid
0.6663;0.0551;0.2108;2;0.0010;0.5000;average;3.0191;sigmoid
0.6566;0.0552;0.2019;2;0.0010;0.5000;single;3.1342;sigmoid
0.6266;0.0553;0.1919;2;0.0010;0.5000;complete;2.9911;relu
0.6449;0.0553;0.1662;2;0.0010;0.5000;average;2.9085;relu
0.6683;0.0552;0.2212;2;0.0010;0.5000;single;2.9279;relu
0.6369;0.0552;0.2910;2;0.0010;0.5500;complete;17.2095;sigmoid
0.6769;0.0550;0.2168;2;0.0010;0.5500;average;14.5556;sigmoid
0.6660;0.0551;0.2167;2;0.0010;0.5500;single;14.5761;sigmoid
0.6213;0.0555;0.1622;2;0.0010;0.5500;complete;14.1510;relu
0.6511;0.0552;0.1838;2;0.0010;0.5500;average;14.1316;relu
0.6703;0.0551;0.2275;2;0.0010;0.5500;single;14.0970;relu
0.6779;0.0551;0.2206;2;0.0010;0.7500;complete;15.1558;sigmoid
0.7094;0.0548;0.2623;2;0.0010;0.7500;average;14.9383;sigmoid
0.7008;0.0549;0.2595;2;0.0010;0.7500;single;14.9180;sigmoid
0.7014;0.0551;0.2130;2;0.0010;0.7500;complete;14.2624;relu
0.7157;0.0549;0.2541;2;0.0010;0.7500;average;14.1002;relu
0.7152;0.0549;0.2366;2;0.0010;0.7500;single;14.2020;relu
0.7220;0.0550;0.1833;2;0.0010;0.9500;complete;15.2858;sigmoid
0.7210;0.0547;0.2685;2;0.0010;0.9500;average;15.6162;sigmoid
0.7210;0.0548;0.1824;2;0.0010;0.9500;single;15.4302;sigmoid
0.7259;0.0549;0.1988;2;0.0010;0.9500;complete;14.5050;relu
0.7314;0.0547;0.2582;2;0.0010;0.9500;average;14.3733;relu
0.7282;0.0549;0.1763;2;0.0010;0.9500;single;14.3902;relu
0.6756;0.0552;0.1558;2;0.0010;0.9950;complete;15.2017;sigmoid
0.6757;0.0550;0.2045;2;0.0010;0.9950;average;15.4410;sigmoid
0.6927;0.0550;0.1455;2;0.0010;0.9950;single;15.1154;sigmoid
0.6834;0.0551;0.1648;2;0.0010;0.9950;complete;14.4116;relu
0.6782;0.0549;0.2102;2;0.0010;0.9950;average;14.5253;relu
0.6994;0.0549;0.1478;2;0.0010;0.9950;single;14.3452;relu
0.6134;0.0554;0.2890;2;0.0100;0.5000;complete;3.0301;sigmoid
0.6369;0.0553;0.2110;2;0.0100;0.5000;average;3.1283;sigmoid
0.6350;0.0553;0.2652;2;0.0100;0.5000;single;3.0137;sigmoid
0.5978;0.0555;0.1539;2;0.0100;0.5000;complete;2.9814;relu
0.6423;0.0553;0.2180;2;0.0100;0.5000;average;2.9147;relu
0.6496;0.0553;0.2290;2;0.0100;0.5000;single;2.9760;relu
0.5842;0.0557;0.1740;2;0.0100;0.5500;complete;14.3504;sigmoid
0.6571;0.0552;0.2235;2;0.0100;0.5500;average;14.4096;sigmoid
0.6525;0.0553;0.2203;2;0.0100;0.5500;single;14.2533;sigmoid
0.6308;0.0555;0.1766;2;0.0100;0.5500;complete;14.0515;relu
0.6679;0.0552;0.1863;2;0.0100;0.5500;average;14.0838;relu
0.6753;0.0550;0.2161;2;0.0100;0.5500;single;14.0466;relu
0.6787;0.0552;0.1928;2;0.0100;0.7500;complete;14.6124;sigmoid
0.6817;0.0551;0.2124;2;0.0100;0.7500;average;14.3629;sigmoid
0.7002;0.0549;0.2438;2;0.0100;0.7500;single;14.3995;sigmoid
0.7077;0.0550;0.2013;2;0.0100;0.7500;complete;14.0851;relu
0.7119;0.0548;0.2724;2;0.0100;0.7500;average;14.1505;relu
0.7128;0.0549;0.2342;2;0.0100;0.7500;single;14.0473;relu
0.7158;0.0550;0.1733;2;0.0100;0.9500;complete;14.7748;sigmoid
0.7186;0.0547;0.2629;2;0.0100;0.9500;average;14.7083;sigmoid
0.7229;0.0548;0.1788;2;0.0100;0.9500;single;14.5027;sigmoid
0.7273;0.0549;0.1943;2;0.0100;0.9500;complete;14.2782;relu
0.7309;0.0548;0.2458;2;0.0100;0.9500;average;14.2218;relu
