MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;TIME;ACTIVATION
0.7141;0.0547;0.2515;4;0.0000;0.9950;16.2344;sigmoid
0.6726;0.0549;0.2182;4;0.0000;0.9950;16.1655;relu
0.6534;0.0550;0.2288;4;0.0000;0.5000;3.6120;sigmoid
0.6324;0.0554;0.1620;4;0.0000;0.5000;3.4215;relu
0.6786;0.0549;0.2547;4;0.0000;0.5500;16.5690;sigmoid
0.6571;0.0551;0.1932;4;0.0000;0.5500;16.4302;relu
0.6787;0.0549;0.2605;4;0.0000;0.7500;16.9011;sigmoid
0.7009;0.0550;0.2649;4;0.0000;0.7500;16.5999;relu
0.7429;0.0544;0.3730;4;0.0000;0.9500;16.6582;sigmoid
0.7332;0.0547;0.3270;4;0.0000;0.9500;16.6797;relu
0.6667;0.0547;0.2507;4;0.0000;0.9950;17.2063;sigmoid
0.7025;0.0547;0.2548;4;0.0000;0.9950;16.3960;relu
0.6152;0.0552;0.2538;4;0.0000;0.5000;3.7035;sigmoid
0.6414;0.0552;0.1829;4;0.0000;0.5000;3.4815;relu
0.6327;0.0553;0.2074;4;0.0000;0.5500;16.6705;sigmoid
0.6724;0.0549;0.2525;4;0.0000;0.5500;16.6083;relu
0.6932;0.0548;0.2396;4;0.0000;0.7500;17.3635;sigmoid
0.6759;0.0550;0.2222;4;0.0000;0.7500;17.0516;relu
0.7258;0.0549;0.2713;4;0.0000;0.9500;17.1517;sigmoid
0.7226;0.0547;0.3465;4;0.0000;0.9500;17.4338;relu
0.6581;0.0548;0.2136;4;0.0000;0.9950;16.7016;sigmoid
0.6772;0.0547;0.2554;4;0.0000;0.9950;16.4817;relu
0.6366;0.0550;0.2187;4;0.0001;0.5000;3.6331;sigmoid
0.6341;0.0554;0.1736;4;0.0001;0.5000;3.4556;relu
0.6597;0.0550;0.2385;4;0.0001;0.5500;16.3271;sigmoid
0.6532;0.0552;0.2239;4;0.0001;0.5500;15.5094;relu
0.7092;0.0548;0.2619;4;0.0001;0.7500;16.9228;sigmoid
0.6937;0.0550;0.2152;4;0.0001;0.7500;16.1817;relu
0.7243;0.0546;0.2922;4;0.0001;0.9500;17.1721;sigmoid
0.7398;0.0546;0.3376;4;0.0001;0.9500;16.9049;relu
0.7085;0.0545;0.2754;4;0.0001;0.9950;16.6230;sigmoid
0.6761;0.0549;0.1791;4;0.0001;0.9950;16.5172;relu
0.6574;0.0550;0.2514;4;0.0010;0.5000;3.5490;sigmoid
0.6029;0.0554;0.1904;4;0.0010;0.5000;3.4104;relu
0.6740;0.0548;0.2948;4;0.0010;0.5500;15.6583;sigmoid
0.6639;0.0550;0.2511;4;0.0010;0.5500;15.4009;relu
