MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;TIME;ACTIVATION
0.6490;0.1544;0.4469;4;0.0100;0.9500;1.7565;relu
0.4635;0.1562;0.1263;4;0.0100;0.9950;1.8136;sigmoid
0.5033;0.1557;0.3054;4;0.0100;0.9950;1.7546;relu
0.7354;0.1525;0.9602;4;0.1000;0.5000;0.8530;sigmoid
0.5437;0.1548;0.5911;4;0.1000;0.5000;0.7702;relu
0.7343;0.1525;0.9662;4;0.1000;0.5500;1.8365;sigmoid
0.7368;0.1527;0.9441;4;0.1000;0.5500;1.7477;relu
0.7336;0.1525;0.9650;4;0.1000;0.7500;1.7971;sigmoid
0.7390;0.1527;0.9344;4;0.1000;0.7500;1.7668;relu
0.6033;0.1550;0.3790;4;0.1000;0.9500;1.7870;sigmoid
0.6448;0.1542;0.4639;4;0.1000;0.9500;1.7019;relu
0.5172;0.1554;0.2558;4;0.1000;0.9950;1.8027;sigmoid
0.5147;0.1561;0.2312;4;0.1000;0.9950;1.7551;relu
0.6245;0.1535;0.6657;4;1.0000;0.5000;0.8319;sigmoid
0.7389;0.1527;0.9338;4;1.0000;0.5000;0.8016;relu
0.7366;0.1526;0.9467;4;1.0000;0.5500;1.7798;sigmoid
0.7380;0.1528;0.9275;4;1.0000;0.5500;1.7539;relu
0.7346;0.1525;0.9605;4;1.0000;0.7500;1.7873;sigmoid
0.7382;0.1527;0.9434;4;1.0000;0.7500;1.8112;relu
0.6334;0.1549;0.3895;4;1.0000;0.9500;1.8211;sigmoid
0.6556;0.1548;0.4779;4;1.0000;0.9500;1.7150;relu
0.4922;0.1568;0.1310;4;1.0000;0.9950;1.8161;sigmoid
0.4792;0.1578;0.0735;4;1.0000;0.9950;1.7606;relu
0.7329;0.1526;0.9493;4;10.0000;0.5000;0.8345;sigmoid
0.5223;0.1544;0.4254;4;10.0000;0.5000;0.7700;relu
0.6576;0.1531;0.6956;4;10.0000;0.5500;1.7827;sigmoid
0.3851;0.1513;0.3416;4;10.0000;0.5500;1.7705;relu
0.7334;0.1531;0.8809;4;10.0000;0.7500;1.8661;sigmoid
0.5747;0.1554;0.4352;4;10.0000;0.7500;1.7261;relu
0.6516;0.1549;0.4870;4;10.0000;0.9500;1.8331;sigmoid
0.6115;0.1545;0.3765;4;10.0000;0.9500;1.7441;relu
0.3926;0.1575;0.0651;4;10.0000;0.9950;1.8019;sigmoid
0.5703;0.1540;0.3590;4;10.0000;0.9950;1.7427;relu
0.6660;0.1538;0.6775;5;0.0000;0.5000;0.9781;sigmoid
0.6538;0.1538;0.6903;5;0.0000;0.5000;0.8967;relu
0.7400;0.1530;0.8981;5;0.0000;0.5500;1.9457;sigmoid
0.7386;0.1527;0.9339;5;0.0000;0.5500;1.8749;relu
0.7392;0.1531;0.9143;5;0.0000;0.7500;1.9397;sigmoid
0.7389;0.1531;0.9131;5;0.0000;0.7500;1.8524;relu
0.6552;0.1540;0.4773;5;0.0000;0.9500;1.8781;sigmoid
0.6553;0.1541;0.4799;5;0.0000;0.9500;1.8589;relu
0.4966;0.1557;0.2082;5;0.0000;0.9950;1.8713;sigmoid
0.4989;0.1558;0.2174;5;0.0000;0.9950;1.8928;relu
0.7361;0.1525;0.9541;5;0.0000;0.5000;0.9361;sigmoid
0.7396;0.1528;0.9325;5;0.0000;0.5000;0.8498;relu
0.7375;0.1528;0.9113;5;0.0000;0.5500;1.9787;sigmoid
0.7350;0.1526;0.9474;5;0.0000;0.5500;1.8764;relu
0.7365;0.1526;0.9513;5;0.0000;0.7500;2.0365;sigmoid
0.7359;0.1529;0.9233;5;0.0000;0.7500;1.8947;relu
0.6446;0.1540;0.4709;5;0.0000;0.9500;1.9476;sigmoid
0.6508;0.1543;0.4518;5;0.0000;0.9500;1.8989;relu
0.4952;0.1558;0.1973;5;0.0000;0.9950;1.9359;sigmoid
0.4703;0.1554;0.2219;5;0.0000;0.9950;1.8677;relu
0.7361;0.1525;0.9623;5;0.0000;0.5000;0.9316;sigmoid
0.7351;0.1526;0.9451;5;0.0000;0.5000;0.8790;relu
0.7361;0.1525;0.9623;5;0.0000;0.5500;1.8480;sigmoid
0.7348;0.1526;0.9505;5;0.0000;0.5500;1.8212;relu
0.7370;0.1525;0.9629;5;0.0000;0.7500;2.0479;sigmoid
0.7402;0.1529;0.9135;5;0.0000;0.7500;1.9882;relu
0.6556;0.1541;0.4751;5;0.0000;0.9500;1.9981;sigmoid
0.6544;0.1542;0.4733;5;0.0000;0.9500;2.0367;relu
0.5027;0.1558;0.2112;5;0.0000;0.9950;1.8917;sigmoid
0.4973;0.1558;0.2073;5;0.0000;0.9950;1.8646;relu
0.7322;0.1528;0.9265;5;0.0000;0.5000;0.9550;sigmoid
0.7360;0.1527;0.9398;5;0.0000;0.5000;0.8447;relu
0.7335;0.1528;0.9176;5;0.0000;0.5500;1.9275;sigmoid
0.6460;0.1542;0.6645;5;0.0000;0.5500;1.9221;relu
0.7361;0.1525;0.9630;5;0.0000;0.7500;2.0037;sigmoid
0.6986;0.1534;0.7883;5;0.0000;0.7500;1.9318;relu
0.6569;0.1540;0.4778;5;0.0000;0.9500;2.0227;sigmoid
0.6513;0.1543;0.4331;5;0.0000;0.9500;1.9431;relu
0.4832;0.1555;0.1830;5;0.0000;0.9950;1.9602;sigmoid
0.4649;0.1561;0.1440;5;0.0000;0.9950;1.9131;relu
0.6526;0.1539;0.6995;5;0.0000;0.5000;0.9427;sigmoid
0.7347;0.1526;0.9510;5;0.0000;0.5000;0.8778;relu
0.7366;0.1526;0.9499;5;0.0000;0.5500;2.0261;sigmoid
0.6562;0.1538;0.6734;5;0.0000;0.5500;1.9447;relu
0.7362;0.1525;0.9681;5;0.0000;0.7500;1.9191;sigmoid
0.7407;0.1528;0.9282;5;0.0000;0.7500;1.9411;relu
0.6517;0.1542;0.4625;5;0.0000;0.9500;2.0401;sigmoid
0.6534;0.1542;0.4656;5;0.0000;0.9500;1.9933;relu
0.4954;0.1557;0.2236;5;0.0000;0.9950;1.9665;sigmoid
0.4998;0.1558;0.2114;5;0.0000;0.9950;1.8853;relu
0.7348;0.1526;0.9501;5;0.0000;0.5000;0.9416;sigmoid
0.7390;0.1528;0.9317;5;0.0000;0.5000;0.8739;relu
0.7362;0.1525;0.9629;5;0.0000;0.5500;1.9659;sigmoid
0.7391;0.1527;0.9367;5;0.0000;0.5500;1.8111;relu
0.7354;0.1525;0.9715;5;0.0000;0.7500;2.0801;sigmoid
0.7403;0.1529;0.9107;5;0.0000;0.7500;1.8972;relu
0.6433;0.1541;0.4784;5;0.0000;0.9500;2.1193;sigmoid
0.6521;0.1544;0.4735;5;0.0000;0.9500;2.0058;relu
0.4986;0.1556;0.2355;5;0.0000;0.9950;1.9702;sigmoid
0.4958;0.1559;0.1957;5;0.0000;0.9950;1.9232;relu
0.6668;0.1537;0.6961;5;0.0001;0.5000;0.9524;sigmoid
0.7352;0.1527;0.9455;5;0.0001;0.5000;0.8674;relu
0.7360;0.1524;0.9717;5;0.0001;0.5500;1.9043;sigmoid
0.7389;0.1527;0.9386;5;0.0001;0.5500;1.9211;relu
0.7354;0.1525;0.9630;5;0.0001;0.7500;1.8916;sigmoid
0.7402;0.1529;0.9192;5;0.0001;0.7500;1.8392;relu
0.6428;0.1540;0.4779;5;0.0001;0.9500;2.0213;sigmoid
0.6620;0.1540;0.5147;5;0.0001;0.9500;1.9410;relu
0.4975;0.1559;0.2065;5;0.0001;0.9950;2.0297;sigmoid
0.4935;0.1557;0.2324;5;0.0001;0.9950;1.8450;relu
0.7354;0.1526;0.9565;5;0.0010;0.5000;0.9551;sigmoid
0.6469;0.1537;0.6804;5;0.0010;0.5000;0.8681;relu
0.6654;0.1537;0.6830;5;0.0010;0.5500;1.8925;sigmoid
0.7079;0.1534;0.8043;5;0.0010;0.5500;1.8102;relu
0.7367;0.1525;0.9691;5;0.0010;0.7500;1.9886;sigmoid
0.7408;0.1529;0.9170;5;0.0010;0.7500;1.8604;relu
0.6586;0.1539;0.5245;5;0.0010;0.9500;2.0458;sigmoid
0.6556;0.1541;0.4767;5;0.0010;0.9500;1.8864;relu
0.4983;0.1558;0.2243;5;0.0010;0.9950;1.9250;sigmoid
0.5014;0.1557;0.2362;5;0.0010;0.9950;1.8519;relu
0.7354;0.1525;0.9630;5;0.0100;0.5000;0.9518;sigmoid
0.7396;0.1528;0.9288;5;0.0100;0.5000;0.8520;relu
0.7360;0.1524;0.9717;5;0.0100;0.5500;1.9255;sigmoid
0.7348;0.1526;0.9505;5;0.0100;0.5500;1.8288;relu
0.7369;0.1524;0.9756;5;0.0100;0.7500;1.8837;sigmoid
0.7402;0.1526;0.9577;5;0.0100;0.7500;1.8324;relu
0.6447;0.1542;0.4742;5;0.0100;0.9500;1.9496;sigmoid
0.6633;0.1540;0.5297;5;0.0100;0.9500;1.8728;relu
0.4900;0.1555;0.1877;5;0.0100;0.9950;1.9672;sigmoid
0.5396;0.1554;0.2415;5;0.0100;0.9950;1.9928;relu
0.7354;0.1525;0.9597;5;0.1000;0.5000;0.9461;sigmoid
0.7364;0.1525;0.9719;5;0.1000;0.5000;0.8749;relu
0.6648;0.1536;0.7001;5;0.1000;0.5500;1.8864;sigmoid
0.7352;0.1525;0.9667;5;0.1000;0.5500;1.8267;relu
0.7369;0.1525;0.9728;5;0.1000;0.7500;1.9038;sigmoid
0.7387;0.1526;0.9484;5;0.1000;0.7500;1.9028;relu
0.6442;0.1544;0.4243;5;0.1000;0.9500;1.9204;sigmoid
0.6338;0.1554;0.3991;5;0.1000;0.9500;1.9047;relu
0.4922;0.1562;0.1943;5;0.1000;0.9950;1.9333;sigmoid
0.4829;0.1565;0.1249;5;0.1000;0.9950;1.8380;relu
0.7335;0.1525;0.9630;5;1.0000;0.5000;0.9116;sigmoid
0.7349;0.1526;0.9538;5;1.0000;0.5000;0.8471;relu
0.7351;0.1525;0.9591;5;1.0000;0.5500;1.9493;sigmoid
0.7380;0.1528;0.9275;5;1.0000;0.5500;1.8746;relu
0.7342;0.1526;0.9566;5;1.0000;0.7500;1.8943;sigmoid
0.7397;0.1528;0.9375;5;1.0000;0.7500;1.8444;relu
0.6649;0.1541;0.5117;5;1.0000;0.9500;1.8863;sigmoid
