MODULARITY;ENTROPY;ARI;K2;LAMBDA;RHO;LINKAGE;TIME;ACTIVATION
0.6363;0.1545;0.6210;2;0.0000;0.5500;complete;1.6499;sigmoid
0.7327;0.1527;0.9312;2;0.0000;0.5500;average;1.6697;sigmoid
0.7330;0.1528;0.9290;2;0.0000;0.5500;single;1.5803;sigmoid
0.6489;0.1545;0.6308;2;0.0000;0.5500;complete;1.5846;relu
0.7409;0.1530;0.9041;2;0.0000;0.5500;average;1.5527;relu
0.7410;0.1530;0.9020;2;0.0000;0.5500;single;1.5601;relu
0.7210;0.1529;0.8938;2;0.0000;0.7500;complete;1.6032;sigmoid
0.7326;0.1526;0.9542;2;0.0000;0.7500;average;1.7111;sigmoid
0.7347;0.1528;0.9252;2;0.0000;0.7500;single;1.5658;sigmoid
0.7285;0.1531;0.8743;2;0.0000;0.7500;complete;1.5621;relu
0.7410;0.1530;0.9020;2;0.0000;0.7500;average;1.5993;relu
0.7410;0.1530;0.9020;2;0.0000;0.7500;single;1.5494;relu
0.5818;0.1567;0.2819;2;0.0000;0.9500;complete;1.6778;sigmoid
0.6465;0.1561;0.4351;2;0.0000;0.9500;average;1.8118;sigmoid
0.6044;0.1558;0.3985;2;0.0000;0.9500;single;1.6574;sigmoid
0.5828;0.1566;0.2811;2;0.0000;0.9500;complete;1.6581;relu
0.6472;0.1562;0.4302;2;0.0000;0.9500;average;1.7885;relu
0.6062;0.1559;0.3980;2;0.0000;0.9500;single;1.6554;relu
0.4856;0.1568;0.0859;2;0.0000;0.9950;complete;1.5911;sigmoid
0.4796;0.1569;0.1236;2;0.0000;0.9950;average;1.5982;sigmoid
0.4788;0.1562;0.1532;2;0.0000;0.9950;single;1.6266;sigmoid
0.4870;0.1567;0.0864;2;0.0000;0.9950;complete;1.5699;relu
0.4801;0.1568;0.1260;2;0.0000;0.9950;average;1.6037;relu
0.4791;0.1562;0.1534;2;0.0000;0.9950;single;1.6402;relu
0.6220;0.1546;0.6085;2;0.0001;0.5000;complete;0.6631;sigmoid
